cf1,start,end,cf2,start,end,set,clone?,type
tomcat/java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java,1256,1265,tomcat/java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java,1266,1275,decomp,TP,T2
tomcat/java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java,1206,1216,tomcat/java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java,1227,1237,decomp,TP,T2
tomcat/java/org/apache/catalina/core/ApplicationFilterFactory.java,77,91,tomcat/java/org/apache/catalina/core/ApplicationFilterFactory.java,126,141,decomp,TP,T3
tomcat/java/org/apache/catalina/core/StandardContext.java,3218,3227,tomcat/java/org/apache/catalina/core/StandardContext.java,3234,3243,decomp,TP,T3
tomcat/java/org/apache/el/parser/AstOr.java,9,19,tomcat/java/org/apache/el/parser/AstAnd.java,9,19,decomp,TP,T3
tomcat/java/org/apache/el/parser/ELParser.java,104,143,tomcat/java/org/apache/el/parser/ELParser.java,2008,2047,decomp,TP,T3
tomcat/java/org/apache/el/parser/ELParser.java,144,183,tomcat/java/org/apache/el/parser/ELParser.java,2008,2047,decomp,TP,T3
tomcat/java/org/apache/el/parser/ELParser.java,1634,1673,tomcat/java/org/apache/el/parser/ELParser.java,2008,2047,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,484,495,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,496,507,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,508,519,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,520,531,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,532,543,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,544,555,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,556,567,decomp,TP,T3
tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,472,483,tomcat/java/org/apache/jasper/runtime/JspRuntimeLibrary.java,568,579,decomp,TP,T3
tomcat/java/org/apache/naming/NamingContext.java,129,147,tomcat/java/org/apache/naming/NamingContext.java,154,172,decomp,TP,T3
tomcat/java/org/apache/tomcat/dbcp/dbcp2/datasources/InstanceKeyDataSource.java,208,220,tomcat/java/org/apache/tomcat/dbcp/dbcp2/datasources/InstanceKeyDataSource.java,224,238,decomp,TP,T3
tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1753,1764,tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1796,1807,decomp,TP,T3
tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1753,1764,tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1809,1820,decomp,TP,T3
tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1782,1794,tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1822,1834,decomp,TP,T3
tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1796,1807,tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1809,1820,decomp,TP,T3
tomcat/java/org/apache/tomcat/util/net/NioEndpoint.java,863,876,tomcat/java/org/apache/tomcat/util/net/AprEndpoint.java,1470,1482,decomp,TP,T3
tomcat/java/org/apache/tomcat/websocket/WsRemoteEndpointImplBase.java,717,742,tomcat/java/org/apache/tomcat/websocket/WsRemoteEndpointImplBase.java,782,807,decomp,TP,T3
tomcat/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport.java,55,64,tomcat/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport.java,66,78,decomp,TP,T3
tomcat/java/org/apache/jasper/el/ELContextImpl.java,37,47,tomcat/java/javax/el/StandardELContext.java,89,99,orig,TP,T1
tomcat/java/org/apache/naming/HandlerRef.java,36,48,tomcat/java/org/apache/naming/EjbRef.java,33,45,orig,TP,T1
